id;quantity_ordered;date;invoice_number;price_payment;provider_id;order_placed_id;product_id
1;86696;2022-11-22T11:46:21;Guapa Inteligente;95646;1;1;1
2;46837;2022-11-22T21:00:09;circuit;20760;2;2;2
3;84386;2022-11-22T02:42:41;Plástico Personal Sabroso;35722;3;3;3
4;19695;2022-11-22T06:20:43;Bricolaje Queso SMS;88746;4;4;4
5;20475;2022-11-22T02:37:24;fritas relationships;85438;5;5;5
6;17022;2022-11-22T20:21:40;Madera Buckinghamshire Región;31290;6;6;6
7;74422;2022-11-22T21:11:32;Liechtenstein Intercambiable u;42747;7;7;7
8;90808;2022-11-22T19:02:24;scalable Operaciones;697;8;8;8
9;55332;2022-11-22T19:28:50;Angola;28370;9;9;9
10;10414;2022-11-22T20:45:15;Sri;64137;10;10;10
